timestamp,throttled,ext5v,temp_c,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz
2026-07-15T13:40:48.121,throttled=0x0,EXT5V_V volt(24)=4.98212000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:49.123,throttled=0x0,EXT5V_V volt(24)=4.94594000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:50.122,throttled=0x0,EXT5V_V volt(24)=4.98212000V,57.3,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:51.122,throttled=0x0,EXT5V_V volt(24)=4.98078000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:52.123,throttled=0x0,EXT5V_V volt(24)=4.95264000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:53.124,throttled=0x0,EXT5V_V volt(24)=4.97274000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:54.123,throttled=0x0,EXT5V_V volt(24)=4.98614000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:55.123,throttled=0x0,EXT5V_V volt(24)=4.97542000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:56.123,throttled=0x0,EXT5V_V volt(24)=4.99016000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:57.122,throttled=0x0,EXT5V_V volt(24)=4.98614000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:58.122,throttled=0x0,EXT5V_V volt(24)=4.98882000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:40:59.123,throttled=0x0,EXT5V_V volt(24)=4.99686000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:00.125,throttled=0x0,EXT5V_V volt(24)=4.94192000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:01.122,throttled=0x0,EXT5V_V volt(24)=4.97274000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:02.123,throttled=0x0,EXT5V_V volt(24)=4.99016000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:03.124,throttled=0x0,EXT5V_V volt(24)=4.92986000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:04.123,throttled=0x0,EXT5V_V volt(24)=4.99418000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:05.123,throttled=0x0,EXT5V_V volt(24)=4.99954000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:06.124,throttled=0x0,EXT5V_V volt(24)=5.02232000V,55.1,1800.0,1800.0,1800.0,1800.0
2026-07-15T13:41:07.126,throttled=0x0,EXT5V_V volt(24)=4.99686000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:08.123,throttled=0x0,EXT5V_V volt(24)=4.99150000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:09.126,throttled=0x0,EXT5V_V volt(24)=4.99552000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:10.123,throttled=0x0,EXT5V_V volt(24)=4.97274000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:11.124,throttled=0x0,EXT5V_V volt(24)=4.98480000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:12.124,throttled=0x0,EXT5V_V volt(24)=4.95800000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:13.124,throttled=0x0,EXT5V_V volt(24)=4.99820000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:14.124,throttled=0x0,EXT5V_V volt(24)=4.99686000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:15.124,throttled=0x0,EXT5V_V volt(24)=4.97274000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:16.127,throttled=0x0,EXT5V_V volt(24)=4.98480000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:17.129,throttled=0x0,EXT5V_V volt(24)=5.00490000V,55.65,1800.0,1800.0,1800.0,1800.0
2026-07-15T13:41:18.127,throttled=0x0,EXT5V_V volt(24)=4.98614000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:19.128,throttled=0x0,EXT5V_V volt(24)=5.00088000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:20.128,throttled=0x0,EXT5V_V volt(24)=4.98614000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:21.128,throttled=0x0,EXT5V_V volt(24)=4.98212000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:22.127,throttled=0x0,EXT5V_V volt(24)=4.99552000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:23.128,throttled=0x0,EXT5V_V volt(24)=4.91512000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:24.127,throttled=0x0,EXT5V_V volt(24)=4.98882000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:25.126,throttled=0x0,EXT5V_V volt(24)=4.97810000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:26.129,throttled=0x0,EXT5V_V volt(24)=4.97274000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:27.127,throttled=0x0,EXT5V_V volt(24)=4.98748000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:28.128,throttled=0x0,EXT5V_V volt(24)=4.95264000V,56.75,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:29.129,throttled=0x0,EXT5V_V volt(24)=4.99284000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:30.129,throttled=0x0,EXT5V_V volt(24)=4.98346000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:31.129,throttled=0x0,EXT5V_V volt(24)=4.99418000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:32.129,throttled=0x0,EXT5V_V volt(24)=4.99552000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:33.131,throttled=0x0,EXT5V_V volt(24)=4.97944000V,54.55,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:34.132,throttled=0x0,EXT5V_V volt(24)=4.99418000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:35.132,throttled=0x0,EXT5V_V volt(24)=4.99016000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:36.135,throttled=0x0,EXT5V_V volt(24)=4.99016000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:37.134,throttled=0x0,EXT5V_V volt(24)=4.99954000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:38.134,throttled=0x0,EXT5V_V volt(24)=4.94728000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:39.132,throttled=0x0,EXT5V_V volt(24)=4.98480000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:40.136,throttled=0x0,EXT5V_V volt(24)=4.97408000V,56.2,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:41.137,throttled=0x0,EXT5V_V volt(24)=4.97408000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:42.137,throttled=0x0,EXT5V_V volt(24)=4.95800000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:43.137,throttled=0x0,EXT5V_V volt(24)=4.99150000V,55.65,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:44.138,throttled=0x0,EXT5V_V volt(24)=4.98480000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:45.138,throttled=0x0,EXT5V_V volt(24)=4.98882000V,55.1,2400.0,2400.0,2400.0,2400.0
2026-07-15T13:41:46.140,throttled=0x0,EXT5V_V volt(24)=4.93522000V,56.75,2400.0,2400.0,2400.0,2400.0
