revision,l2_tick_id,l4_tick_id,A_ms,B_ms,C_ms,D_ms,E_ms,total_ms,publication_count_for_revision,l2_reject_reasons,complete_A_to_E,measurement_monotonic_ns,scan_end_monotonic_ns,snapshot_update_monotonic_ns,publication_monotonic_ns,l2_admission_monotonic_ns,l4_accepted_monotonic_ns
1,69,69,37.68571,4.102266,13.980455,1.034655,0.427354,57.23044,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590045985044,26590083670754,26590087773020,26590101753475,26590102788130,26590103215484
2,73,73,35.033824,7.9689,20.752848,2.278421,0.60806,66.642053,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590118704578,26590153738402,26590161707302,26590182460150,26590184738571,26590185346631
3,76,76,34.431394,8.291125,8.691349,1.902456,0.521632,53.837956,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590188169796,26590222601190,26590230892315,26590239583664,26590241486120,26590242007752
4,80,80,36.720038,8.202291,14.79109,5.342254,1.579343,66.635016,3,DUPLICATE|DUPLICATE,True,26590259321227,26590296041265,26590304243556,26590319034646,26590324376900,26590325956243
5,82,82,31.456293,4.557954,22.266524,1.158451,0.529022,59.968244,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590327497558,26590358953851,26590363511805,26590385778329,26590386936780,26590387465802
6,87,87,38.519364,19.026597,41.151324,5.517218,0.602263,104.816766,3,DUPLICATE|DUPLICATE,True,26590397473214,26590435992578,26590455019175,26590496170499,26590501687717,26590502289980
7,89,89,31.315699,7.922067,49.918451,5.580664,0.634466,95.371347,4,DUPLICATE|DUPLICATE|DUPLICATE,True,26590467308277,26590498623976,26590506546043,26590556464494,26590562045158,26590562679624
8,91,91,40.584469,12.05887,10.510008,1.977142,1.383119,66.513608,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590539208444,26590579792913,26590591851783,26590602361791,26590604338933,26590605722052
9,95,95,37.342097,10.413453,51.218459,5.443107,0.489243,104.906359,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590617135010,26590654477107,26590664890560,26590716109019,26590721552126,26590722041369
10,97,97,41.276482,3.581022,25.12493,23.196363,2.763832,95.942629,4,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590695753589,26590737030071,26590740611093,26590765736023,26590788932386,26590791696218
11,101,101,47.263111,8.36231,48.814389,22.71036,1.713825,128.863995,3,DUPLICATE|DUPLICATE,True,26590784293182,26590831556293,26590839918603,26590888732992,26590911443352,26590913157177
12,103,103,52.599894,34.533265,6.131407,4.129285,0.451632,97.845483,3,DUPLICATE|DUPLICATE|DUPLICATE,True,26590884156186,26590936756080,26590971289345,26590977420752,26590981550037,26590982001669
13,105,105,38.735485,4.656787,38.511123,4.496546,1.314008,87.713949,3,DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE|DUPLICATE,True,26590975491565,26591014227050,26591018883837,26591057394960,26591061891506,26591063205514
14,109,109,50.950272,3.50541,44.967181,26.000046,3.288187,128.711096,3,DUPLICATE|DUPLICATE|DUPLICATE,True,26591065177322,26591116127594,26591119633004,26591164600185,26591190600231,26591193888418
